episode,environment_seed,epsilon,episode_reward,episode_cost,holding_cost,stockout_cost,ordering_cost,discarding_cost,steps,states_seen
34,329865694,0.9739351432113504,-9885.175,988517.5,191627.5,99800.0,17240.0,679850.0,50,200
35,375539314,0.9731559950967813,-8135.325,813532.5,193652.5,95200.0,16280.0,508400.0,50,200
36,823097560,0.9723774703007039,-6669.225000000001,666922.5,184722.5,25800.0,15800.0,440600.0,50,206
37,738172761,0.9715995683244633,-9826.074999999999,982607.5,196887.5,195600.0,16920.0,573200.0,50,206
38,445105079,0.9708222886698037,-10224.55,1022455.0,196825.0,230900.0,15680.0,579050.0,50,209
39,273090388,0.9700456308388679,-10557.575,1055757.5,197407.5,141900.0,17000.0,699450.0,50,212
40,912834359,0.9692695943341968,-11080.349999999999,1108035.0,194235.0,200500.0,17200.0,696100.0,50,215
41,535226974,0.9684941786587294,-9732.024999999996,973202.5,194092.5,168800.0,16560.0,593750.0,50,216
42,168725148,0.9677193833158024,-9429.074999999999,942907.5,197317.5,162000.0,17040.0,566550.0,50,216
43,733705870,0.9669452078091497,-7082.750000000001,708275.0,186705.0,13600.0,16320.0,491650.0,50,218
44,506830882,0.9661716516429024,-9141.225000000002,914122.5,197452.5,110400.0,17320.0,588950.0,50,218
45,149680210,0.9653987143215881,-10070.725,1007072.5,197852.5,175200.0,17320.0,616700.0,50,219
46,65256795,0.9646263953501308,-10867.849999999999,1086785.0,196035.0,229300.0,16000.0,645450.0,50,222
47,816812753,0.9638546942338507,-6974.799999999999,697480.0,182050.0,5600.0,16880.0,492950.0,50,227
48,916921900,0.9630836104784636,-11529.5,1152950.0,196150.0,180800.0,16800.0,759200.0,50,228
49,278531198,0.9623131435900808,-7243.2,724320.0,187420.0,86400.0,15200.0,435300.0,50,233
50,582010040,0.9615432930752087,-10739.499999999998,1073950.0,194500.0,132800.0,17800.0,728850.0,50,233
51,329760994,0.9607740584407485,-8560.399999999998,856040.0,178010.0,147600.0,17080.0,513350.0,50,236
52,900731199,0.9600054391939958,-10416.5,1041650.0,190840.0,72400.0,17560.0,760850.0,50,237
53,202608925,0.9592374348426406,-6603.849999999999,660385.0,186635.0,54300.0,16000.0,403450.0,50,238
54,856251952,0.9584700448947664,-11705.975000000004,1170597.5,198467.5,198400.0,17880.0,755850.0,50,238
55,753780618,0.9577032688588506,-8463.125,846312.5,191072.5,20300.0,17240.0,617700.0,50,238
56,471472931,0.9569371062437635,-9183.2,918320.0,192890.0,69600.0,16280.0,639550.0,50,242
57,76235603,0.9561715565587685,-7910.75,791075.0,187065.0,61600.0,17360.0,525050.0,50,242
58,877115785,0.9554066193135214,-8760.649999999998,876065.0,192315.0,0.0,17400.0,666350.0,50,248
59,183883999,0.9546422940180707,-7775.9000000000015,777590.0,189030.0,70000.0,16360.0,502200.0,50,249
60,576283832,0.9538785801828562,-7277.625,727762.5,191222.5,62400.0,16440.0,457700.0,50,252
